,game_date,Spread,Predicted Spread,Scores
108,2016-10-30,-7.0,-1.56081190373,6.0
109,2016-10-30,-3.0,-5.05964513833,7.0
110,2016-10-30,-5.5,9.80871689862,7.0
111,2016-10-30,-7.0,2.29582800154,-2.0
112,2016-10-30,-6.5,8.5672471012,7.0
113,2016-10-30,-1.5,4.34191727548,3.0
114,2016-10-30,-5.5,4.23495688791,5.0
115,2016-10-30,8.0,-0.717321449378,-21.0
116,2016-10-30,5.0,-2.37013183839,9.0
117,2016-10-30,-3.5,-1.02321098967,-3.0
118,2016-10-30,-3.5,7.57738469627,3.0
119,2016-10-31,8.5,-8.17643125657,-5.0
120,2016-11-03,6.5,-0.43184639516,-14.0
121,2016-11-06,-8.0,8.28795414521,28.0
122,2016-11-06,6.5,-4.99060788765,-6.0
123,2016-11-06,2.5,-1.05747767604,-8.0
124,2016-11-06,-7.5,5.01808081687,7.0
125,2016-11-06,-3.5,-3.92972539036,5.0
126,2016-11-06,-4.0,9.99847266729,19.0
127,2016-11-06,-8.5,10.2403599308,7.0
128,2016-11-06,-4.0,0.421338549387,-14.0
129,2016-11-06,3.0,-9.25625784629,-2.0
130,2016-11-06,-8.0,3.96946486673,33.0
131,2016-11-06,-2.5,-7.73876808749,8.0
132,2016-11-07,-3.5,0.97650997493,-7.0
133,2016-11-10,-6.5,6.6251696099,10.0
134,2016-11-13,-3.0,1.48625150994,14.0
135,2016-11-13,-2.0,2.23360825569,18.0
136,2016-11-13,-6.5,5.36054861272,8.0
137,2016-11-13,-0.0,3.13692483474,20.0
138,2016-11-13,-13.0,11.3236451315,16.0
139,2016-11-13,3.5,-2.31941091297,-10.0
140,2016-11-13,-3.5,-3.90203619345,32.0
141,2016-11-13,-6.5,3.57922525687,-15.0
142,2016-11-13,-5.0,8.05267612433,-1.0
143,2016-11-13,-1.0,-0.760894003762,-31.0
144,2016-11-13,-3.5,-3.45545809319,8.0
145,2016-11-13,3.5,-9.85469260165,3.0
146,2016-11-14,-2.0,-3.19187370701,5.0
147,2016-11-17,3.0,0.0659965909968,28.0
148,2016-11-20,4.5,-10.5328313948,-28.0
149,2016-11-20,-3.0,0.668418051204,-6.0
150,2016-11-20,-1.0,-0.793321448007,12.0
151,2016-11-20,3.0,-2.8005023588,-9.0
152,2016-11-20,4.5,-4.72533504621,-13.0
153,2016-11-20,2.0,2.96135706865,3.0
154,2016-11-20,2.0,-6.51297494501,-5.0
155,2016-11-20,-2.0,8.74062175604,3.0
156,2016-11-20,-6.5,4.88542857564,-5.0
157,2016-11-20,-7.5,3.96003519306,3.0
158,2016-11-20,1.0,1.55111491094,-7.0
159,2016-11-20,-6.0,9.98967984342,7.0
160,2016-11-21,-15.0,7.61782531158,21.0
161,2016-11-24,2.5,-1.33290823018,-21.0
162,2016-11-24,-7.0,6.87459477499,6.0
163,2016-11-24,2.5,-4.05476548125,-3.0
164,2016-11-27,3.0,-7.22639327727,-13.0
165,2016-11-27,-3.0,-4.55569459094,-7.0
166,2016-11-27,-13.5,9.65309272189,28.0
167,2016-11-27,-3.5,2.95519167327,1.0
168,2016-11-27,-4.0,-5.11561290004,11.0
169,2016-11-27,-6.0,-4.68426877379,-2.0
170,2016-11-27,4.5,-0.164398024888,-3.0
171,2016-11-27,3.0,-0.814867730487,-4.0
172,2016-11-27,-5.0,-0.112536371293,1.0
173,2016-11-27,-5.0,-0.203950941491,-28.0
174,2016-11-27,-10.5,8.95664764386,20.0
175,2016-11-27,-7.0,8.81535391312,-11.0
176,2016-11-28,-1.5,2.22074535423,5.0
177,2016-12-01,-3.5,3.13188370468,8.0
178,2016-12-04,-3.0,-3.0536472669,2.0
179,2016-12-04,-3.0,5.27303437376,7.0
180,2016-12-04,-6.0,-2.62883339415,-1.0
181,2016-12-04,-6.0,5.01267215599,13.0
182,2016-12-04,-9.0,3.89075095089,-3.0
183,2016-12-04,4.5,-1.87214412998,3.0
184,2016-12-04,-4.5,4.65348251684,-3.0
185,2016-12-04,3.0,-3.44066923221,-20.0
186,2016-12-04,-17.0,9.79953077981,38.0
187,2016-12-04,4.0,-9.2788782969,21.0
188,2016-12-04,3.0,-7.54214015308,-17.0
189,2016-12-04,-5.5,7.31467653035,4.0
190,2016-12-04,-3.5,4.11973967419,23.0
191,2016-12-05,-6.5,5.0623070662,21.0
192,2016-12-08,3.5,0.169410139454,-7.0
193,2016-12-11,-9.0,9.8240655583,-9.0
194,2016-12-11,5.5,-1.23554341287,-10.0
195,2016-12-11,-1.0,-6.75266532772,18.0
196,2016-12-11,7.0,-3.58430161511,-38.0
197,2016-12-11,-7.5,4.47305303078,6.0
198,2016-12-11,-6.0,-0.983579960986,28.0
199,2016-12-11,11.5,-2.31057898987,-2.0
200,2016-12-11,-6.5,-7.2481892046,14.0
201,2016-12-11,-3.0,8.98286016124,3.0
202,2016-12-11,-3.0,2.50020243321,1.0
203,2016-12-11,3.5,-7.77015354788,20.0
204,2016-12-11,2.5,4.4672102785,17.0
205,2016-12-11,7.5,-3.46157982219,-21.0
206,2016-12-11,-3.0,8.29157045053,7.0
207,2016-12-12,-5.5,6.96419096123,4.0
208,2016-12-15,-4.0,-5.3946283973,13.0
209,2016-12-17,-8.0,0.433917856456,20.0
210,2016-12-18,-11.0,2.71878052854,18.0
211,2016-12-18,-5.0,6.65814297718,25.0
212,2016-12-18,-6.5,7.4089940786,16.0
213,2016-12-18,-16.0,10.4100830453,18.0
214,2016-12-18,-5.5,3.82130723656,-3.0
215,2016-12-18,-2.5,-0.651079115117,-2.0
216,2016-12-18,-6.5,5.9000503085,23.0
217,2016-12-18,-5.5,3.26375854343,19.0
218,2016-12-18,3.0,3.75675787026,-6.0
219,2016-12-18,,,
220,2016-12-18,,,
221,2016-12-18,,,
222,2016-12-18,,,
223,2016-12-19,,,
224,2016-12-22,,,
225,2016-12-24,,,
226,2016-12-24,,,
227,2016-12-24,,,
228,2016-12-24,,,
229,2016-12-24,,,
230,2016-12-24,,,
231,2016-12-24,,,
232,2016-12-24,,,
233,2016-12-24,,,
234,2016-12-24,,,
235,2016-12-24,,,
236,2016-12-24,,,
237,2016-12-25,,,
238,2016-12-25,,,
239,2016-12-26,,,
240,2017-01-01,,,
241,2017-01-01,,,
242,2017-01-01,,,
243,2017-01-01,,,
244,2017-01-01,,,
