game_date,results
2017-01-01,9.8240655583
2017-01-01,-1.23554341287
2017-01-01,-6.75266532772
2017-01-01,-3.58430161511
2017-01-01,4.47305303078
2017-01-01,-0.983579960986
2017-01-01,-2.31057898987
2017-01-01,-7.2481892046
2017-01-01,8.98286016124
2017-01-01,2.50020243321
2017-01-01,-7.77015354788
2017-01-01,4.4672102785
2017-01-01,-3.46157982219
2017-01-01,8.29157045053
2017-01-01,6.96419096123
2017-01-07,-5.3946283973
2017-01-07,0.433917856456
2017-01-08,2.71878052854
2017-01-08,6.65814297718
2017-01-14,7.4089940786
2017-01-14,10.4100830453
2017-01-15,3.82130723656
2017-01-15,-0.651079115117
2017-01-22,5.9000503085
2017-01-22,3.26375854343
2017-02-05,3.75675787026
